ano,municipio,valor_r,area_ha
2020,Abadia de Goiás - GO,1770.0,498.0
2020,Abadia dos Dourados - MG,22016.0,5057.0
2020,Abadiânia - GO,54703.0,8041.0
2020,Abaetetuba - PA,39635.0,2410.0
2020,Abaeté - MG,12364.0,2046.0
2020,Abaiara - CE,5458.0,2595.0
2020,Abaré - BA,4880.0,1700.0
2020,Abatiá - PR,111289.0,24651.0
2020,Abaíra - BA,2544.0,708.0
2020,Abdon Batista - SC,12925.0,3630.0
2020,Abel Figueiredo - PA,29471.0,6046.0
2020,Abelardo Luz - SC,425964.0,63330.0
2020,Abre Campo - MG,3413.0,1070.0
2020,Abreu e Lima - PE,8100.0,420.0
2020,Abreulândia - TO,50860.0,8200.0
2020,Acaiaca - MG,707.0,204.0
2020,Acajutiba - BA,2162.0,735.0
2020,Acarape - CE,1405.0,928.0
2020,Acaraú - CE,16009.0,8115.0
2020,Acari - RN,231.0,155.0
2020,Acará - PA,113919.0,18450.0
2020,Acauã - PI,4729.0,3823.0
2020,Aceguá - RS,111410.0,34749.0
2020,Acopiara - CE,17113.0,15274.0
2020,Acorizal - MT,2407.0,174.0
2020,Acrelândia - AC,8227.0,1674.0
2020,Acreúna - GO,589156.0,125710.0
2020,Adamantina - SP,54720.0,12276.0
2020,Adelândia - GO,1294.0,304.0
2020,Adolfo - SP,58992.0,6696.0
2020,Adrianópolis - PR,16351.0,2880.0
2020,Adustina - BA,218048.0,34000.0
2020,Afogados da Ingazeira - PE,3508.0,3903.0
2020,Afonso Bezerra - RN,7324.0,1118.0
2020,Afonso Cláudio - ES,33337.0,996.0
2020,Afonso Cunha - MA,32685.0,7992.0
2020,Afrânio - PE,4477.0,5105.0
2020,Afuá - PA,528.0,114.0
2020,Agrestina - PE,1252.0,495.0
2020,Agricolândia - PI,5408.0,1520.0
2020,Agrolândia - SC,23549.0,2971.0
2020,Agronômica - SC,47249.0,4402.0
2020,Aguanil - MG,7892.0,1702.0
2020,Aguaí - SP,130164.0,19880.0
2020,Agudo - RS,185733.0,19294.0
2020,Agudos - SP,62739.0,12477.0
2020,Agudos do Sul - PR,55304.0,7131.0
2020,Aguiar - PB,644.0,897.0
2020,Aguiarnópolis - TO,1128.0,151.0
2020,Aimorés - MG,9570.0,892.0
2020,Aiquara - BA,799.0,142.0
2020,Aiuaba - CE,12092.0,10180.0
2020,Aiuruoca - MG,13246.0,1824.0
2020,Ajuricaba - RS,88562.0,32413.0
2020,Alagoa - MG,451.0,54.0
2020,Alagoa Grande - PB,18259.0,5902.0
2020,Alagoa Nova - PB,9177.0,2425.0
2020,Alagoinha - PB,4427.0,1007.0
2020,Alagoinha - PE,202.0,215.0
2020,Alagoinha do Piauí - PI,7080.0,6525.0
2020,Alagoinhas - BA,3945.0,925.0
2020,Alambari - SP,34223.0,4910.0
2020,Albertina - MG,105.0,30.0
2020,Alcantil - PB,338.0,582.0
2020,Alcinópolis - MS,88013.0,18402.0
2020,Alcobaça - BA,13745.0,2111.0
2020,Alcântara - MA,2572.0,963.0
2020,Alcântaras - CE,2107.0,1915.0
2020,Aldeias Altas - MA,32872.0,9221.0
2020,Alecrim - RS,26025.0,4595.0
2020,Alegre - ES,2527.0,790.0
2020,Alegrete - RS,611576.0,120163.0
2020,Alegrete do Piauí - PI,10580.0,5590.0
2020,Alegria - RS,48582.0,12548.0
2020,Alenquer - PA,77610.0,11527.0
2020,Alexandria - RN,268.0,325.0
2020,Alexânia - GO,82756.0,12484.0
2020,Alfenas - MG,148098.0,27089.0
2020,Alfredo Chaves - ES,22930.0,886.0
2020,Alfredo Marcondes - SP,2625.0,450.0
2020,Alfredo Vasconcelos - MG,5188.0,265.0
2020,Alfredo Wagner - SC,172021.0,7637.0
2020,Algodão de Jandaíra - PB,118.0,150.0
2020,Alhandra - PB,19638.0,3052.0
2020,Aliança - PE,60363.0,8596.0
2020,Aliança do Tocantins - TO,30313.0,7518.0
2020,Almadina - BA,386.0,109.0
2020,Almas - TO,35863.0,13491.0
2020,Almeirim - PA,3238.0,391.0
2020,Almenara - MG,1436.0,506.0
2020,Almino Afonso - RN,939.0,268.0
2020,Almirante Tamandaré - PR,19176.0,2645.0
2020,Almirante Tamandaré do Sul - RS,112774.0,24854.0
2020,Aloândia - GO,15068.0,3605.0
2020,Alpercata - MG,2424.0,338.0
2020,Alpestre - RS,30900.0,6118.0
2020,Alpinópolis - MG,32135.0,6241.0
2020,Alta Floresta - MT,182659.0,43238.0
2020,Alta Floresta D'Oeste - RO,40723.0,11422.0
2020,Altair - SP,86539.0,15982.0
2020,Altamira - PA,114000.0,28979.0
2020,Altamira do Maranhão - MA,1723.0,1041.0
2020,Altamira do Paraná - PR,12694.0,2743.0
2020,Altaneira - CE,2203.0,1049.0
2020,Alterosa - MG,21915.0,4088.0
2020,Altinho - PE,3038.0,625.0
2020,Altinópolis - SP,189452.0,27910.0
2020,Alto Alegre - RR,206520.0,29500.0
2020,Alto Alegre - RS,16929.0,8180.0
2020,Alto Alegre - SP,70990.0,14120.0
2020,Alto Alegre do Maranhão - MA,652.0,635.0
2020,Alto Alegre do Pindaré - MA,2305.0,896.0
2020,Alto Alegre dos Parecis - RO,72997.0,19376.0
2020,Alto Araguaia - MT,256932.0,55262.0
2020,Alto Bela Vista - SC,5789.0,926.0
2020,Alto Boa Vista - MT,140014.0,35960.0
2020,Alto Caparaó - MG,533.0,161.0
2020,Alto Feliz - RS,2434.0,225.0
2020,Alto Garças - MT,637706.0,139511.0
2020,Alto Horizonte - GO,2572.0,568.0
2020,Alto Jequitibá - MG,1001.0,337.0
2020,Alto Longá - PI,4837.0,2804.0
2020,Alto Paraguai - MT,46681.0,11185.0
2020,Alto Paraná - PR,41188.0,6420.0
2020,Alto Paraíso - PR,26180.0,3500.0
2020,Alto Paraíso - RO,93146.0,20388.0
2020,Alto Paraíso de Goiás - GO,120120.0,20492.0
2020,Alto Parnaíba - MA,383710.0,72663.0
2020,Alto Piquiri - PR,227119.0,59226.0
2020,Alto Rio Doce - MG,8734.0,2192.0
2020,Alto Rio Novo - ES,237.0,50.0
2020,Alto Santo - CE,5300.0,1471.0
2020,Alto Taquari - MT,574782.0,128469.0
