ano,municipio,produto,variavel,valor
0,Alta Floresta D'Oeste - RO,Quantidade produzida,2020,
0,Alta Floresta D'Oeste - RO,Valor da produção,2020,40723.0
0,Alta Floresta D'Oeste - RO,Área colhida,2020,11422.0
0,Ariquemes - RO,Quantidade produzida,2020,
0,Ariquemes - RO,Valor da produção,2020,43522.0
0,Ariquemes - RO,Área colhida,2020,10126.0
0,Cabixi - RO,Quantidade produzida,2020,
0,Cabixi - RO,Valor da produção,2020,184069.0
0,Cabixi - RO,Área colhida,2020,46295.0
0,Cacoal - RO,Quantidade produzida,2020,
0,Cacoal - RO,Valor da produção,2020,25594.0
0,Cacoal - RO,Área colhida,2020,4602.0
0,Cerejeiras - RO,Quantidade produzida,2020,
0,Cerejeiras - RO,Valor da produção,2020,297915.0
0,Cerejeiras - RO,Área colhida,2020,69148.0
0,Colorado do Oeste - RO,Quantidade produzida,2020,
0,Colorado do Oeste - RO,Valor da produção,2020,21467.0
0,Colorado do Oeste - RO,Área colhida,2020,4989.0
0,Corumbiara - RO,Quantidade produzida,2020,
0,Corumbiara - RO,Valor da produção,2020,286058.0
0,Corumbiara - RO,Área colhida,2020,69750.0
0,Costa Marques - RO,Quantidade produzida,2020,
0,Costa Marques - RO,Valor da produção,2020,4092.0
0,Costa Marques - RO,Área colhida,2020,367.0
0,Espigão D'Oeste - RO,Quantidade produzida,2020,
0,Espigão D'Oeste - RO,Valor da produção,2020,15676.0
0,Espigão D'Oeste - RO,Área colhida,2020,3773.0
0,Guajará-Mirim - RO,Quantidade produzida,2020,
0,Guajará-Mirim - RO,Valor da produção,2020,13557.0
0,Guajará-Mirim - RO,Área colhida,2020,693.0
0,Jaru - RO,Quantidade produzida,2020,
0,Jaru - RO,Valor da produção,2020,25099.0
0,Jaru - RO,Área colhida,2020,1178.0
0,Ji-Paraná - RO,Quantidade produzida,2020,
0,Ji-Paraná - RO,Valor da produção,2020,5969.0
0,Ji-Paraná - RO,Área colhida,2020,268.0
0,Machadinho D'Oeste - RO,Quantidade produzida,2020,
0,Machadinho D'Oeste - RO,Valor da produção,2020,75000.0
0,Machadinho D'Oeste - RO,Área colhida,2020,15864.0
0,Nova Brasilândia D'Oeste - RO,Quantidade produzida,2020,
0,Nova Brasilândia D'Oeste - RO,Valor da produção,2020,10377.0
0,Nova Brasilândia D'Oeste - RO,Área colhida,2020,1230.0
0,Ouro Preto do Oeste - RO,Quantidade produzida,2020,
0,Ouro Preto do Oeste - RO,Valor da produção,2020,3098.0
0,Ouro Preto do Oeste - RO,Área colhida,2020,218.0
0,Pimenta Bueno - RO,Quantidade produzida,2020,
0,Pimenta Bueno - RO,Valor da produção,2020,16182.0
0,Pimenta Bueno - RO,Área colhida,2020,1596.0
0,Porto Velho - RO,Quantidade produzida,2020,
0,Porto Velho - RO,Valor da produção,2020,478715.0
