ano,municipio,produto,2020,2021,2022
0,Abadia de Goiás - GO,Valor da produção,1770.0,8406.0,9697.0
0,Abadia de Goiás - GO,Área colhida,498.0,1055.0,1240.0
0,Abadia dos Dourados - MG,Valor da produção,22016.0,54296.0,59292.0
0,Abadia dos Dourados - MG,Área colhida,5057.0,5209.0,6140.0
0,Abadiânia - GO,Valor da produção,54703.0,55094.0,68269.0
0,Abadiânia - GO,Área colhida,8041.0,6140.0,7442.0
0,Abaetetuba - PA,Valor da produção,39635.0,45205.0,31687.0
0,Abaetetuba - PA,Área colhida,2410.0,2395.0,2395.0
0,Abaeté - MG,Valor da produção,12364.0,18571.0,16445.0
0,Abaeté - MG,Área colhida,2046.0,1556.0,1494.0
0,Abaiara - CE,Valor da produção,5458.0,7053.0,8921.0
0,Abaiara - CE,Área colhida,2595.0,2699.0,2806.0
0,Abaré - BA,Valor da produção,4880.0,5362.0,7134.0
0,Abaré - BA,Área colhida,1700.0,1861.0,2105.0
0,Abatiá - PR,Valor da produção,111289.0,74601.0,169785.0
0,Abatiá - PR,Área colhida,24651.0,10851.0,19756.0
0,Abaíra - BA,Valor da produção,2544.0,3846.0,4294.0
0,Abaíra - BA,Área colhida,708.0,706.0,711.0
0,Abdon Batista - SC,Valor da produção,12925.0,18684.0,65983.0
0,Abdon Batista - SC,Área colhida,3630.0,3610.0,5760.0
0,Abel Figueiredo - PA,Valor da produção,29471.0,49745.0,56685.0
0,Abel Figueiredo - PA,Área colhida,6046.0,6160.0,6161.0
0,Abelardo Luz - SC,Valor da produção,425964.0,440978.0,791452.0
0,Abelardo Luz - SC,Área colhida,63330.0,64615.0,70715.0
0,Abre Campo - MG,Valor da produção,3413.0,5071.0,4410.0
0,Abre Campo - MG,Área colhida,1070.0,1040.0,980.0
0,Abreu e Lima - PE,Valor da produção,8100.0,5680.0,7763.0
0,Abreu e Lima - PE,Área colhida,420.0,370.0,490.0
0,Abreulândia - TO,Valor da produção,50860.0,102008.0,92632.0
0,Abreulândia - TO,Área colhida,8200.0,12707.0,12722.0
0,Acaiaca - MG,Valor da produção,707.0,926.0,839.0
0,Acaiaca - MG,Área colhida,204.0,191.0,189.0
0,Acajutiba - BA,Valor da produção,2162.0,2448.0,2832.0
0,Acajutiba - BA,Área colhida,735.0,730.0,736.0
0,Acarape - CE,Valor da produção,1405.0,2045.0,1759.0
0,Acarape - CE,Área colhida,928.0,943.0,996.0
0,Acaraú - CE,Valor da produção,16009.0,28593.0,32312.0
0,Acaraú - CE,Área colhida,8115.0,8993.0,9292.0
0,Acari - RN,Valor da produção,231.0,45.0,159.0
0,Acari - RN,Área colhida,155.0,135.0,161.0
0,Acará - PA,Valor da produção,113919.0,319604.0,252938.0
0,Acará - PA,Área colhida,18450.0,18450.0,18450.0
0,Acauã - PI,Valor da produção,4729.0,5612.0,1861.0
0,Acauã - PI,Área colhida,3823.0,3075.0,2432.0
0,Aceguá - RS,Valor da produção,111410.0,302628.0,131284.0
0,Aceguá - RS,Área colhida,34749.0,35529.0,37716.0
0,Acopiara - CE,Valor da produção,17113.0,37109.0,37251.0
0,Acopiara - CE,Área colhida,15274.0,18389.0,19236.0
0,Acorizal - MT,Valor da produção,2407.0,4452.0,2616.0
0,Acorizal - MT,Área colhida,174.0,174.0,173.0
0,Acrelândia - AC,Valor da produção,8227.0,8726.0,11455.0
0,Acrelândia - AC,Área colhida,1674.0,1720.0,1960.0
0,Acreúna - GO,Valor da produção,589156.0,1047804.0,1285342.0
0,Acreúna - GO,Área colhida,125710.0,127622.0,126935.0
0,Adamantina - SP,Valor da produção,54720.0,106115.0,114427.0
0,Adamantina - SP,Área colhida,12276.0,14530.0,13616.0
0,Adelândia - GO,Valor da produção,1294.0,2913.0,3771.0
0,Adelândia - GO,Área colhida,304.0,350.0,360.0
0,Adolfo - SP,Valor da produção,58992.0,58801.0,109150.0
0,Adolfo - SP,Área colhida,6696.0,6650.0,8088.0
0,Adrianópolis - PR,Valor da produção,16351.0,26070.0,21936.0
0,Adrianópolis - PR,Área colhida,2880.0,2665.0,2434.0
0,Adustina - BA,Valor da produção,218048.0,132500.0,302783.0
0,Adustina - BA,Área colhida,34000.0,34500.0,34500.0
0,Afogados da Ingazeira - PE,Valor da produção,3508.0,2618.0,4797.0
0,Afogados da Ingazeira - PE,Área colhida,3903.0,3213.0,4632.0
0,Afonso Bezerra - RN,Valor da produção,7324.0,2489.0,12257.0
0,Afonso Bezerra - RN,Área colhida,1118.0,271.0,820.0
0,Afonso Cláudio - ES,Valor da produção,33337.0,42444.0,85850.0
0,Afonso Cláudio - ES,Área colhida,996.0,989.0,1050.0
0,Afonso Cunha - MA,Valor da produção,32685.0,72542.0,85280.0
0,Afonso Cunha - MA,Área colhida,7992.0,10092.0,10582.0
0,Afrânio - PE,Valor da produção,4477.0,369.0,237.0
0,Afrânio - PE,Área colhida,5105.0,915.0,515.0
0,Afuá - PA,Valor da produção,528.0,587.0,825.0
0,Afuá - PA,Área colhida,114.0,118.0,100.0
0,Agrestina - PE,Valor da produção,1252.0,1313.0,2270.0
0,Agrestina - PE,Área colhida,495.0,655.0,705.0
0,Agricolândia - PI,Valor da produção,5408.0,10370.0,9194.0
0,Agricolândia - PI,Área colhida,1520.0,1782.0,1051.0
0,Agrolândia - SC,Valor da produção,23549.0,37080.0,39621.0
0,Agrolândia - SC,Área colhida,2971.0,3098.0,3116.0
0,Agronômica - SC,Valor da produção,47249.0,64549.0,70814.0
0,Agronômica - SC,Área colhida,4402.0,5107.0,5162.0
0,Aguanil - MG,Valor da produção,7892.0,16166.0,15781.0
0,Aguanil - MG,Área colhida,1702.0,1631.0,1697.0
0,Aguaí - SP,Valor da produção,130164.0,178453.0,233604.0
0,Aguaí - SP,Área colhida,19880.0,19765.0,19765.0
0,Agudo - RS,Valor da produção,185733.0,297156.0,262161.0
0,Agudo - RS,Área colhida,19294.0,19529.0,19685.0
0,Agudos - SP,Valor da produção,62739.0,60336.0,83736.0
0,Agudos - SP,Área colhida,12477.0,8818.0,9472.0
