NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Ano (Código),Ano,Variável (Código),Variável,Produto das lavouras temporárias (Código),Produto das lavouras temporárias
6,Município,1017,Toneladas,..,1100015,Alta Floresta D'Oeste - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,47660,1100015,Alta Floresta D'Oeste - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,3994,1100015,Alta Floresta D'Oeste - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100023,Ariquemes - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,117951,1100023,Ariquemes - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,12572,1100023,Ariquemes - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100031,Cabixi - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,402771,1100031,Cabixi - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,53983,1100031,Cabixi - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100049,Cacoal - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,47318,1100049,Cacoal - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,4276,1100049,Cacoal - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100056,Cerejeiras - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,515384,1100056,Cerejeiras - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,64110,1100056,Cerejeiras - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100064,Colorado do Oeste - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,56955,1100064,Colorado do Oeste - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,5959,1100064,Colorado do Oeste - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100072,Corumbiara - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,627145,1100072,Corumbiara - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,71200,1100072,Corumbiara - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100080,Costa Marques - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,16401,1100080,Costa Marques - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,1287,1100080,Costa Marques - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100098,Espigão D'Oeste - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,30729,1100098,Espigão D'Oeste - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,2981,1100098,Espigão D'Oeste - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100106,Guajará-Mirim - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,17577,1100106,Guajará-Mirim - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,1079,1100106,Guajará-Mirim - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100114,Jaru - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,43180,1100114,Jaru - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,913,1100114,Jaru - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100122,Ji-Paraná - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,11863,1100122,Ji-Paraná - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,1009,1100122,Ji-Paraná - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100130,Machadinho D'Oeste - RO,2022,2022,214,Quantidade produzida,0,Total
